annee,cumul_periode,rss,region,nom_etablissement,nom_installation,no_permis_installation,nb_visites_total,nb_usagers_75ans_et_plus_total,nb_usagers_sante_mentale_total,dms_total,nb_usagers_pec_total,delai_pec_total,nb_visites_ambulatoire,nb_usagers_75ans_et_plus_amb,nb_usagers_sante_mentale_amb,dms_ambulatoire,nb_usagers_pec_ambulatoire,delai_pec_ambulatoire,nb_visites_sur_civiere,nb_usagers_sur_civiere_plus_24h,nb_usagers_sur_civiere_plus_48h,dms_sur_civiere,nb_usagers_pec_sur_civiere,delai_pec_sur_civiere,nb_usagers_75ans_et_plus_civ,nb_usagers_sante_mentale_civ
2020-2021,12,05,Estrie,Total régional,Total régional,,168056,25915,10475,7.4598927804,147214,2.0603894519,103100,7775,3607,3.9561382396,82561,2.5752400817,64956,9769,1784,13.021151066,64653,1.4029322133,18140,6868
2020-2021,12,11,Gaspésie-Îles-de-la-Madeleine,Total régional,Total régional,,65509,10596,2782,4.5940584033,58939,1.2219425074,50759,5755,1860,2.5796933111,44504,1.308105445,14750,1690,443,11.526069096,14435,0.9562968287,4841,922
2020-2021,12,14,Lanaudière,Total régional,Total régional,,103746,16628,7314,9.5175733844,85535,2.3593830596,63017,4390,3611,4.7944346279,45070,2.9751644725,40729,10060,1547,16.825340209,40465,1.6735244587,12238,3703
2020-2021,12,15,Laurentides,Total régional,Total régional,,137377,21061,10502,10.732580059,115342,2.6545299703,85040,6591,3712,4.9964593394,63293,3.3039609172,52337,14679,4544,20.052940532,52049,1.864804271,14470,6790
2020-2021,12,13,Laval,Total régional,Total régional,,65505,11382,4778,8.399900313,53466,2.095535548,41136,3059,1437,4.2238381358,29148,2.6514924409,24369,4530,326,15.449286571,24318,1.4291554381,8323,3341
2020-2021,12,04,Mauricie et Centre-du-Québec,Total régional,Total régional,,172221,28680,10662,6.2191818458,145754,1.8918615727,107726,8385,3642,3.2742824904,81821,2.2912341337,64495,6211,414,11.138047308,63933,1.3807474014,20295,7020
2020-2021,12,06,Montréal,Total régional,Total régional,,588430,85558,49714,10.313035048,536966,1.7858854202,343662,20561,17543,4.5348410365,293899,2.2164251353,244768,64118,17949,18.425801873,243067,1.2653080004,64997,32171
2020-2021,12,16,Montérégie,Total régional,Total régional,,278961,48082,20044,10.157684751,229187,2.1829488947,175255,14473,8205,4.1490004279,125782,2.6052322934,103706,31043,9478,20.311889629,103405,1.6692827233,33609,11839
2020-2021,12,07,Outaouais,Total régional,Total régional,,110789,15085,7308,7.9263347946,88347,2.2261849236,76587,6151,3106,3.708349321,54647,2.2207867668,34202,7701,2559,17.371479917,33700,2.2349384273,8934,4202
2020-2021,12,02,Saguenay-Lac-Saint-Jean,Total régional,Total régional,,123331,19108,6642,5.2808152114,109875,1.6838253192,79124,6968,2331,2.8188106081,66103,1.8983314129,44207,2697,198,9.6874397783,43772,1.3598854417,12140,4311
2021-2022,12,08,Abitibi-Témiscamingue,Total régional,Total régional,,96528,10602,5767,5.7717312536,79041,2.640684592,78958,5770,4303,4.3361116986,61594,2.9236645615,17570,2256,378,12.223276434,17447,1.6416665234,4832,1464
2021-2022,12,01,Bas-Saint-Laurent,Total régional,Total régional,,115534,18294,4959,4.1141279503,101019,1.7090041257,86356,8721,3111,2.9812145074,72205,1.8988579854,29178,447,7,7.4671292964,28814,1.233249356,9573,1848
2021-2022,12,03,Capitale-Nationale,Total régional,Total régional,,324190,50529,18629,7.113268248,271998,1.7348101232,213658,18665,6378,3.577552571,161847,2.1686150655,110532,17909,3413,13.947795264,110151,1.0974121105,31864,12251
2021-2022,12,12,Chaudière-Appalaches,Total régional,Total régional,,183095,28472,8608,5.8508367772,159802,1.3220428127,134026,11386,4211,2.922059675,110778,1.561040517,49069,8160,897,13.850434892,49024,0.7819871729,17086,4397
2021-2022,12,09,Côte-Nord,Total régional,Total régional,,86728,9593,4973,6.861733504,70260,2.3863922336,67881,5089,3127,3.9014757852,51906,2.4679674155,18847,3620,1781,17.523656049,18354,2.1556936726,4504,1846
2021-2022,12,05,Estrie,Total régional,Total régional,,200997,30238,11281,8.062137583,168780,2.7631158214,127594,9628,4119,4.7233654665,95777,3.5327000567,73403,12552,2443,13.865814401,73003,1.7534522554,20610,7162
2021-2022,12,11,Gaspésie-Îles-de-la-Madeleine,Total régional,Total régional,,83637,13102,3377,4.934252298,74205,1.6117712531,66929,7708,2301,3.0222233055,57794,1.7209564622,16708,2303,591,12.593468748,16411,1.2272578183,5394,1076
2021-2022,12,14,Lanaudière,Total régional,Total régional,,125732,20410,8047,9.9582061514,95379,3.2132172497,81870,6072,4300,5.6976529016,51737,4.1104449105,43862,12715,1716,17.910681975,43642,2.149566008,14338,3747
2021-2022,12,15,Laurentides,Total régional,Total régional,,162529,25591,11289,12.105490651,125444,3.4929385002,105999,8696,4140,6.0146071216,69295,4.3394805501,56530,20111,7316,23.526462935,56149,2.4481980534,16895,7149
2021-2022,12,13,Laval,Total régional,Total régional,,79852,13075,5164,8.4738107756,62626,2.6918319778,52244,3775,1554,4.7978723979,35095,3.4138615583,27608,4924,380,15.429972925,27531,1.7714285008,9300,3610
2021-2022,12,04,Mauricie et Centre-du-Québec,Total régional,Total régional,,212350,34221,11595,7.0301411454,169519,2.7978821696,139112,10662,4079,4.3441169405,97348,3.4472124063,73238,9308,620,12.132112788,72171,1.9220317602,23559,7516
2021-2022,12,06,Montréal,Total régional,Total régional,,738126,101541,56143,10.48527765,632113,2.426443858,457158,26655,20893,5.399912492,353849,3.059311548,280968,74177,21870,18.759584207,278264,1.6216699769,74886,35250
2021-2022,12,16,Montérégie,Total régional,Total régional,,327738,55169,21257,10.876607333,242183,3.0816852591,216322,18426,9073,5.1261972006,131300,3.6883319603,111416,35529,12554,22.041433038,110883,2.3633360815,36743,12184
2021-2022,12,07,Outaouais,Total régional,Total régional,,123623,16134,8113,8.1880549354,96151,2.3017979012,90037,7319,3637,3.8344374998,63067,2.3165706268,33586,8665,3623,19.859187343,33084,2.2736371139,8815,4476
2021-2022,12,02,Saguenay-Lac-Saint-Jean,Total régional,Total régional,,148901,21888,7675,5.9322796448,128519,2.2568917285,100417,8526,2846,3.4137170582,80744,2.5477588324,48484,4779,530,11.148567477,47775,1.7653004477,13362,4829
2022-2023,12,08,Abitibi-Témiscamingue,Total régional,Total régional,,104840,11359,5582,6.1836365732,87673,2.9463138404,86171,6064,4105,4.7713553928,69169,3.2332258631,18669,2480,469,12.702340392,18504,1.8738204502,5295,1477
2022-2023,12,01,Bas-Saint-Laurent,Total régional,Total régional,,130299,20443,4773,4.4240147938,112243,1.9531595239,97944,9485,2878,3.1825121526,80433,2.1264469013,32355,1059,47,8.1822510689,31810,1.514994682,10958,1895
2022-2023,12,03,Capitale-Nationale,Total régional,Total régional,,354454,55353,18839,7.5039786678,290672,1.9228575001,236842,20738,6813,3.7281765809,173716,2.3819463473,117612,21482,5392,15.107526927,116956,1.2409679162,34615,12026
2022-2023,12,12,Chaudière-Appalaches,Total régional,Total régional,,222245,33485,9376,6.1401810689,191009,1.7181019597,172071,15220,4965,3.3419801387,140896,2.0134813681,50174,11017,2115,15.73657028,50113,0.8876232991,18265,4411
2022-2023,12,09,Côte-Nord,Total régional,Total régional,,94705,10273,4647,6.6021815433,75532,2.8300822683,75236,5671,3031,4.3945682807,56503,2.9811489065,19469,3387,1351,15.133281827,19029,2.3815185886,4602,1616
2022-2023,12,05,Estrie,Total régional,Total régional,,219601,32745,11458,8.7837554335,178383,3.2823093335,144237,10768,3980,5.3529678142,103428,4.2469782092,75364,15656,3653,15.349841547,74955,1.9511936977,21977,7478
2022-2023,12,11,Gaspésie-Îles-de-la-Madeleine,Total régional,Total régional,,92665,14485,3649,5.5091564656,81388,1.9617407699,75222,8703,2434,3.4959728315,64269,2.1084169532,17443,2950,950,14.190902686,17119,1.4110817578,5782,1215
2022-2023,12,14,Lanaudière,Total régional,Total régional,,132699,21875,8060,10.952831088,94978,3.8104022393,89077,6712,4291,6.2412315905,51560,4.8365926914,43622,14726,3564,20.574011877,43418,2.5917744881,15163,3769
2022-2023,12,15,Laurentides,Total régional,Total régional,,175620,27942,11432,12.398869629,130576,3.9891159129,116184,9525,3887,6.4915338601,71605,4.9261800852,59436,21766,7857,23.94638122,58971,2.8512942708,18417,7545
2022-2023,12,13,Laval,Total régional,Total régional,,85630,14605,5371,9.3653545811,64404,3.099714338,56417,4075,1539,5.4632937176,35300,3.99373209,29213,6733,565,16.901128645,29104,2.015367628,10530,3832
2022-2023,12,04,Mauricie et Centre-du-Québec,Total régional,Total régional,,224651,36088,11267,7.8259260908,173433,3.1570039295,149575,11529,3556,4.7547691979,99502,3.945534791,75076,12851,1839,13.944636361,73931,2.0957387256,24559,7711
2022-2023,12,06,Montréal,Total régional,Total régional,,792716,108351,56941,11.184104612,647976,2.7478322838,499408,28715,20534,5.8478008445,358425,3.5843030519,293308,83496,27592,20.270092011,289551,1.7123945369,79636,36407
2022-2023,12,16,Montérégie,Total régional,Total régional,,344594,58808,20917,11.767366595,246150,3.5572564346,233244,20547,8535,5.742475281,135356,4.1683389584,111350,38095,15751,24.387660709,110794,2.8107025952,38261,12382
2022-2023,12,07,Outaouais,Total régional,Total régional,,144368,18133,7900,9.1378268691,107131,2.9237506806,107549,8263,3538,4.4095399436,71070,2.9700348014,36819,10592,5346,22.949243001,36061,2.8325326761,9870,4362
2022-2023,12,02,Saguenay-Lac-Saint-Jean,Total régional,Total régional,,167240,24119,8055,6.3154135441,142124,2.6683473156,116185,9610,3039,3.8175676483,91862,2.9838966542,51055,5904,858,11.999719203,50262,2.0916294506,14509,5016
2023-2024,12,08,Abitibi-Témiscamingue,Total régional,Total régional,,103099,12141,5429,6.2595599672,87595,2.8622611609,83158,6494,3891,4.8381108185,67852,3.1530417878,19941,2372,445,12.187290187,19743,1.8629172365,5647,1538
2023-2024,12,01,Bas-Saint-Laurent,Total régional,Total régional,,124612,21541,5119,4.7609136315,108687,1.9858063087,92579,10390,3032,3.335156341,77190,2.1758842575,32033,1567,206,8.8815137688,31497,1.5199804567,11151,2087
2023-2024,12,03,Capitale-Nationale,Total régional,Total régional,,354500,59494,19273,7.4899836201,293617,1.9928467102,233938,22133,6990,3.7909208518,173799,2.4629779947,120562,21404,4446,14.667629528,119818,1.3109095461,37361,12283
2023-2024,12,12,Chaudière-Appalaches,Total régional,Total régional,,220688,34842,9301,6.0125343345,190596,1.8776478855,172179,16735,4939,3.4502228269,142153,2.2065228428,48509,9168,1847,15.10726383,48443,0.9125845782,18107,4362
2023-2024,12,09,Côte-Nord,Total régional,Total régional,,92525,10647,4956,6.4528264043,74176,2.7762591487,72958,6086,3155,4.0363727076,55055,2.9209584405,19567,3580,1372,15.462875405,19121,2.3596271987,4561,1801
2023-2024,12,05,Estrie,Total régional,Total régional,,217525,34987,11438,8.8405461377,179475,3.357869968,142056,12408,4131,5.4576660789,104397,4.3255942221,75469,15418,3292,15.208172708,75078,2.0122359746,22579,7307
2023-2024,12,11,Gaspésie-Îles-de-la-Madeleine,Total régional,Total régional,,91330,15217,3587,5.3830185074,81416,1.8324463523,73597,9212,2382,3.3551212421,63932,1.9624147097,17733,3019,775,13.799369662,17484,1.3572040151,6005,1205
2023-2024,12,14,Lanaudière,Total régional,Total régional,,134274,24250,8460,10.765661556,97973,3.8931594646,88195,7792,4504,6.1896471928,52146,4.862619371,46079,14766,2769,19.524132589,45827,2.7900225304,16458,3956
2023-2024,12,15,Laurentides,Total régional,Total régional,,174791,30901,11878,12.152784704,133173,3.9220902281,113259,10831,3777,6.4996517152,72162,4.897883412,61532,21153,6893,22.558235349,61011,2.7679510116,20070,8101
2023-2024,12,13,Laval,Total régional,Total régional,,83289,16125,5246,10.02408507,65184,2.9930271104,52847,4797,1295,5.472088219,34815,3.8171035872,30442,7504,981,17.92630495,30369,2.0483064236,11328,3951
2023-2024,12,04,Mauricie et Centre-du-Québec,Total régional,Total régional,,222648,38826,11230,7.4585893054,175684,3.0134008283,144774,12578,3508,4.6210280621,99081,3.7621886386,77874,10906,976,12.73384281,76603,2.0448924796,26248,7722
2023-2024,12,06,Montréal,Total régional,Total régional,,792711,114496,56891,11.216681282,653094,2.6695932451,487895,31685,19890,5.6856382606,351845,3.4627603995,304816,86554,26918,20.069786877,301249,1.7432104274,82811,37001
2023-2024,12,16,Montérégie,Total régional,Total régional,,346486,64944,21092,11.520945351,254580,3.8060315203,220691,22642,7986,6.0848752466,129849,4.5026848344,125795,39049,12858,21.057824777,124731,3.0807929175,42302,13106
2023-2024,12,07,Outaouais,Total régional,Total régional,,143222,19606,7881,9.7240561487,106906,3.4873371181,104468,8821,3343,5.1166054704,69183,3.4287859453,38754,11570,4937,22.144223292,37723,3.5947184447,10785,4538
2023-2024,12,02,Saguenay-Lac-Saint-Jean,Total régional,Total régional,,163627,25847,8381,6.2706268967,140455,2.691889943,111185,10842,3363,3.8828047973,88897,3.0260054708,52442,5075,419,11.333172187,51558,2.1158034371,15005,5018
2024-2025,12,08,Abitibi-Témiscamingue,Total régional,Total régional,,112211,13632,5794,6.4405327959,93941,3.2300989333,90985,7520,4243,5.1075477307,72954,3.563638122,21226,2715,400,12.154357641,20987,2.0706660472,6112,1551
2024-2025,12,01,Bas-Saint-Laurent,Total régional,Total régional,,136214,23414,5264,4.8126209086,118229,2.0725915948,104649,11803,3181,3.3947326433,87116,2.2818821871,31565,2025,214,9.513415747,31113,1.4865806272,11611,2083
2024-2025,12,03,Capitale-Nationale,Total régional,Total régional,,380560,65278,20419,7.3162463373,313640,2.1075536036,252967,24449,7610,3.9265230698,187014,2.5836848712,127593,21789,2868,14.036741394,126626,1.4043551066,40829,12809
2024-2025,12,12,Chaudière-Appalaches,Total régional,Total régional,,229704,37340,9741,6.4370645507,199594,1.9936722366,178502,18319,5003,3.6239208431,148469,2.3471890391,51202,10553,2856,16.24433337,51125,0.9670456126,19021,4738
2024-2025,12,09,Côte-Nord,Total régional,Total régional,,96035,11327,5265,6.8017701851,77809,3.2605567943,75731,6395,3144,4.8133632785,57970,3.4778245309,20304,3380,1067,14.218241986,19839,2.6256956276,4932,2121
2024-2025,12,05,Estrie,Total régional,Total régional,,223948,36711,11130,8.6965110638,181867,3.6845331158,147927,13349,4068,5.8430282598,106397,4.738019232,76021,13474,1907,14.249018276,75470,2.1993368483,23362,7062
2024-2025,12,11,Gaspésie-Îles-de-la-Madeleine,Total régional,Total régional,,96905,16151,3729,5.0734230575,85281,2.025446387,77657,9976,2378,3.5291714598,66344,2.1854209708,19248,2245,342,11.303781865,18937,1.4649904655,6175,1351
2024-2025,12,14,Lanaudière,Total régional,Total régional,,147288,27177,9095,10.117993879,108764,3.4208263406,97063,8598,4688,5.7219029794,58762,4.2827136679,50225,15315,2134,18.613718539,50002,2.4079423934,18579,4407
2024-2025,12,15,Laurentides,Total régional,Total régional,,192471,34648,12195,11.985461686,146828,3.882342376,124698,12279,3924,6.3208812469,79568,4.8331567583,67773,22452,7543,22.40792862,67260,2.7575371609,22369,8271
2024-2025,12,13,Laval,Total régional,Total régional,,85984,16703,5655,11.002881253,66532,3.7259846139,53649,4988,1232,6.4194124722,34342,4.7515791726,32335,8992,1086,18.607598019,32190,2.6318259207,11715,4423
2024-2025,12,04,Mauricie et Centre-du-Québec,Total régional,Total régional,,235692,42234,11822,7.4069611859,185383,3.1563094527,151969,14293,3584,4.8289890171,103163,3.9638948261,83723,10141,690,12.086342629,82220,2.1430167032,27941,8238
2024-2025,12,06,Montréal,Total régional,Total régional,,853098,124762,59851,11.025983269,689889,2.7641749981,527072,33947,20865,5.6875260311,367367,3.615027719,326026,89051,27110,19.65643401,322522,1.7950156492,90815,38986
2024-2025,12,16,Montérégie,Total régional,Total régional,,355011,68102,22612,11.596987514,258263,4.0704506818,219953,23235,8101,6.1205128116,124572,4.9181123522,135058,41082,12865,20.515874513,133691,3.2806076138,44867,14511
2024-2025,12,07,Outaouais,Total régional,Total régional,,157551,22071,8501,9.7397878853,117486,4.2292213824,116027,9865,3462,5.5765176688,77393,4.0846400371,41524,12445,4201,21.372861611,40093,4.508312098,12206,5039
2024-2025,12,02,Saguenay-Lac-Saint-Jean,Total régional,Total régional,,175855,28240,8414,6.3903222794,149916,2.8936793104,121034,11974,3309,4.1263401331,96027,3.2779960439,54821,5248,378,11.388750165,53889,2.2088496982,16266,5105
2020-2021,12,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,Total établissement,,92960,16104,4298,3.916289318,82041,1.2825207349,66697,7094,2601,2.5401139815,56032,1.4217234695,26263,352,2,7.4111972272,26009,0.9826319415,9010,1697
2020-2021,12,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,Total établissement,,123331,19108,6642,5.2808152114,109875,1.6838253192,79124,6968,2331,2.8188106081,66103,1.8983314129,44207,2697,198,9.6874397783,43772,1.3598854417,12140,4311
2020-2021,12,03,Capitale-Nationale,CHU DE QUÉBEC - UNIVERSITÉ LAVAL,Total établissement,,176402,28954,15095,9.0457719993,156185,1.4720485767,99591,7592,4163,3.7052359986,79547,1.927379603,76811,15988,3628,15.970162007,76638,0.999434245,21362,10932
2020-2021,12,03,Capitale-Nationale,CIUSSS DE LA CAPITALE-NATIONALE,Total établissement,,71135,9001,1805,3.4110221371,57856,1.3154286072,58077,5134,1123,2.3087037037,44914,1.450920302,13058,634,91,8.313713794,12942,0.8452173586,3867,682
2020-2021,12,03,Capitale-Nationale,INSTITUT UNIVERSITAIRE DE CARDIOLOGIE ET DE PNEUMOLOGIE DE QUÉBEC - UNIVERSITÉ LAVAL,Total établissement,,20333,6208,539,7.7425812991,19554,1.4213759901,9793,1834,312,3.6796868795,9024,1.8291980644,10540,786,1,11.51752675,10530,1.0718806057,4374,227
2020-2021,12,04,Mauricie et Centre-du-Québec,CIUSSS DE LA MAURICIE-ET-DU-CENTRE-DU-QUÉBEC,Total établissement,,172221,28680,10662,6.2191818458,145754,1.8918615727,107726,8385,3642,3.2742824904,81821,2.2912341337,64495,6211,414,11.138047308,63933,1.3807474014,20295,7020
2020-2021,12,05,Estrie,CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,Total établissement,,168056,25915,10475,7.4598927804,147214,2.0603894519,103100,7775,3607,3.9561382396,82561,2.5752400817,64956,9769,1784,13.021151066,64653,1.4029322133,18140,6868
2020-2021,12,06,Montréal,CENTRE HOSPITALIER DE L'UNIVERSITÉ DE MONTRÉAL,Total établissement,,47576,6912,3719,12.802673529,41917,2.1010792823,27917,1912,1561,5.7383659598,22345,2.8042296934,19659,7422,1781,22.834428676,19572,1.2983051184,5000,2158
2020-2021,12,06,Montréal,CENTRE HOSPITALIER UNIVERSITAIRE SAINTE-JUSTINE,Total établissement,,44450,0,1516,4.1869820147,42868,1.0237273854,30425,0,744,3.3673456313,28959,1.1467989418,14025,48,0,5.9650523866,13909,0.7674883169,0,772
2020-2021,12,06,Montréal,CENTRE UNIVERSITAIRE DE SANTÉ MCGILL,Total établissement,,106964,11427,6276,9.8839022864,99350,1.6281384248,60295,2449,1711,4.6568810616,53041,1.8985605161,46669,9712,3097,16.63706273,46309,1.3184047197,8978,4565
2020-2021,12,06,Montréal,CIUSSS DE L'EST-DE-L'ÎLE-DE-MONTRÉAL,Total établissement,,79963,16275,9348,14.23486219,68984,2.5427457776,43717,3517,3263,5.0734865537,32928,3.4508102611,36246,14324,5259,25.284574122,36056,1.7134594643,12758,6085
2020-2021,12,06,Montréal,CIUSSS DE L'OUEST-DE-L'ÎLE-DE-MONTRÉAL,Total établissement,,81193,13440,9417,10.445959357,76254,1.9661788416,51081,3650,3118,4.9063052798,46218,2.2994090626,30112,8798,1993,19.843245153,30036,1.4534196742,9790,6299
2020-2021,12,06,Montréal,CIUSSS DU CENTRE-OUEST-DE-L'ÎLE-DE-MONTRÉAL,Total établissement,,58662,10698,3231,8.4965412779,55517,1.1487803185,22783,1193,382,3.2765587036,19929,1.2539578141,35879,4042,720,11.811206207,35588,1.0898817485,9505,2849
2020-2021,12,06,Montréal,CIUSSS DU CENTRE-SUD-DE-L'ÎLE-DE-MONTRÉAL,Total établissement,,57278,8035,6818,11.620514809,51490,1.6880976349,33299,1930,2429,4.2045571105,28025,2.1481792546,23979,8556,2696,21.918858168,23465,1.1386074413,6105,4389
2020-2021,12,06,Montréal,CIUSSS DU NORD-DE-L'ÎLE-DE-MONTRÉAL,Total établissement,,97533,14915,8891,9.5943226253,86125,1.996085641,65029,4276,3913,4.5950981229,53684,2.570980289,32504,9656,2229,19.596001501,32441,1.0447387565,10639,4978
2020-2021,12,06,Montréal,INSTITUT DE CARDIOLOGIE DE MONTRÉAL,Total établissement,,14811,3856,498,8.7690269995,14461,1.1963540634,9116,1634,422,3.1952426137,8770,1.3360543203,5695,1560,174,17.690996878,5691,0.9810718191,2222,76
2020-2021,12,07,Outaouais,CISSS DE L'OUTAOUAIS,Total établissement,,110789,15085,7308,7.9263347946,88347,2.2261849236,76587,6151,3106,3.708349321,54647,2.2207867668,34202,7701,2559,17.371479917,33700,2.2349384273,8934,4202
2020-2021,12,08,Abitibi-Témiscamingue,CISSS DE L'ABITIBI-TÉMISCAMINGUE,Total établissement,,82084,9574,5304,5.1444246713,70815,2.0068605443,66013,5208,3989,3.7560773467,54796,2.2142666486,16071,1557,177,10.847179443,16019,1.297388986,4366,1315
2020-2021,12,09,Côte-Nord,CISSS DE LA CÔTE-NORD,Total établissement,,70773,8148,4019,6.1563324251,57290,1.9048874779,54745,4207,2429,3.1869814138,42252,1.9600682413,16028,2856,1423,16.29840387,15038,1.7498470726,3941,1590
2020-2021,12,11,Gaspésie-Îles-de-la-Madeleine,CISSS DE LA GASPÉSIE,Total établissement,,55562,9463,2492,4.8039402179,50423,1.2990983612,42722,5091,1709,2.7238424452,37881,1.3962510083,12840,1557,434,11.724963352,12542,1.0056651429,4372,783
2020-2021,12,11,Gaspésie-Îles-de-la-Madeleine,CISSS DES ÎLES,Total établissement,,9947,1133,290,3.4216995632,8516,0.7651048353,8037,664,151,1.813444797,6623,0.8039468938,1910,133,9,10.188999855,1893,0.6292089276,469,139
2020-2021,12,12,Chaudière-Appalaches,CISSS DE CHAUDIÈRE-APPALACHES,Total établissement,,133684,22723,7042,5.7158129391,117228,0.9029250904,91413,7958,3253,2.4341558884,74990,1.0730513587,42271,5447,441,12.812548667,42238,0.6008802763,14765,3789
2020-2021,12,13,Laval,CISSS DE LAVAL,Total établissement,,65505,11382,4778,8.399900313,53466,2.095535548,41136,3059,1437,4.2238381358,29148,2.6514924409,24369,4530,326,15.449286571,24318,1.4291554381,8323,3341
2020-2021,12,14,Lanaudière,CISSS DE LANAUDIÈRE,Total établissement,,103746,16628,7314,9.5175733844,85535,2.3593830596,63017,4390,3611,4.7944346279,45070,2.9751644725,40729,10060,1547,16.825340209,40465,1.6735244587,12238,3703
2020-2021,12,15,Laurentides,CISSS DES LAURENTIDES,Total établissement,,137377,21061,10502,10.732580059,115342,2.6545299703,85040,6591,3712,4.9964593394,63293,3.3039609172,52337,14679,4544,20.052940532,52049,1.864804271,14470,6790
2020-2021,12,16,Montérégie,CISSS DE LA MONTÉRÉGIE-CENTRE,Total établissement,,100654,17106,8655,9.6856294528,78018,2.2647842378,64823,5109,3329,4.0119292835,42250,2.6864876857,35831,10878,2645,19.950100611,35768,1.7666582405,11997,5326
2020-2021,12,16,Montérégie,CISSS DE LA MONTÉRÉGIE-EST,Total établissement,,103819,18211,6647,9.5081482623,86418,2.1264676405,62079,5819,2467,3.9462090643,44855,2.538404086,41740,10862,2922,17.780300238,41563,1.6819037432,12392,4180
2020-2021,12,16,Montérégie,CISSS DE LA MONTÉRÉGIE-OUEST,Total établissement,,74488,12765,4742,11.700865971,64751,2.1597271256,48353,3545,2409,4.5931186391,38677,2.5939733778,26135,9303,3911,24.851082414,26074,1.5155857474,9220,2333
2021-2022,12,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,Total établissement,,115534,18294,4959,4.1141279503,101019,1.7090041257,86356,8721,3111,2.9812145074,72205,1.8988579854,29178,447,7,7.4671292964,28814,1.233249356,9573,1848
2021-2022,12,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,Total établissement,,148901,21888,7675,5.9322796448,128519,2.2568917285,100417,8526,2846,3.4137170582,80744,2.5477588324,48484,4779,530,11.148567477,47775,1.7653004477,13362,4829
2021-2022,12,03,Capitale-Nationale,CHU DE QUÉBEC - UNIVERSITÉ LAVAL,Total établissement,,206372,32251,16015,8.5936960588,175228,1.7236967456,122705,9647,4759,3.9957534443,91782,2.3002964452,83667,16322,3376,15.336982522,83446,1.0894965007,22604,11256
